Sample	Power (mW)
0	288.0
1	288.0
2	288.0
3	288.0
4	220.0
5	232.0
6	220.0
7	226.0
8	220.0
9	236.0
10	232.0
11	220.0
12	226.0
13	220.0
14	230.0
15	220.0
16	230.0
17	220.0
18	222.0
19	230.0
20	220.0
21	226.0
22	220.0
23	232.0
24	220.0
25	230.0
26	226.0
27	222.0
28	232.0
29	220.0
30	226.0
31	220.0
32	232.0
33	220.0
34	222.0
35	226.0
36	222.0
37	230.0
38	220.0
39	226.0
40	220.0
41	226.0
42	232.0
43	220.0
44	226.0
45	220.0
46	222.0
47	222.0
48	220.0
49	226.0
50	220.0
51	230.0
52	222.0
53	220.0
54	220.0
55	220.0
56	222.0
57	222.0
58	230.0
59	220.0
60	230.0
61	222.0
62	230.0
63	226.0
64	220.0
65	230.0
66	222.0
67	226.0
68	216.0
69	230.0
70	232.0
71	220.0
72	226.0
73	220.0
74	230.0
75	222.0
76	220.0
77	226.0
78	220.0
79	230.0
80	226.0
81	230.0
82	220.0
83	220.0
84	230.0
85	220.0
86	226.0
87	220.0
88	230.0
89	232.0
90	220.0
91	226.0
92	216.0
93	232.0
94	226.0
95	220.0
96	230.0
97	216.0
98	226.0
99	226.0
100	220.0
101	220.0
102	220.0
103	222.0
104	222.0
105	220.0
106	220.0
107	220.0
108	222.0
109	216.0
110	222.0
111	220.0
112	220.0
113	222.0
114	220.0
115	220.0
116	220.0
117	222.0
118	222.0
119	220.0
